Season,wOBA,Name,Team,PA,playerid
1998,0.331,Shane Andrews,Expos,559,1588
2001,0.346,Shane Halter,Tigers,507,468
1992,0.390,Shane Mack,Twins,692,1007928
1993,0.333,Shane Mack,Twins,553,1007928
2011,0.368,Shane Victorino,Phillies,586,1677
2013,0.353,Shane Victorino,Red Sox,532,1677
2009,0.352,Shane Victorino,Phillies,694,1677
2008,0.351,Shane Victorino,Phillies,627,1677
2007,0.340,Shane Victorino,Phillies,510,1677
2010,0.331,Shane Victorino,Phillies,648,1677
2012,0.310,Shane Victorino,- - -,666,1677
2000,0.378,Shannon Stewart,Blue Jays,631,1322
2001,0.362,Shannon Stewart,Blue Jays,698,1322
2002,0.358,Shannon Stewart,Blue Jays,641,1322
1998,0.357,Shannon Stewart,Blue Jays,605,1322
2003,0.356,Shannon Stewart,- - -,644,1322
1999,0.351,Shannon Stewart,Blue Jays,682,1322
2007,0.329,Shannon Stewart,Athletics,630,1322
2005,0.312,Shannon Stewart,Twins,599,1322
1912,0.344,Shano Collins,White Sox,632,1002466
1920,0.343,Shano Collins,White Sox,537,1002466
1918,0.339,Shano Collins,White Sox,399,1002466
1914,0.330,Shano Collins,White Sox,652,1002466
1921,0.328,Shano Collins,Red Sox,584,1002466
1916,0.324,Shano Collins,White Sox,606,1002466
1915,0.320,Shano Collins,White Sox,650,1002466
1922,0.297,Shano Collins,Red Sox,504,1002466
1913,0.295,Shano Collins,White Sox,598,1002466
1932,0.321,Shanty Hogan,Giants,529,1005924
1999,0.411,Shawn Green,Blue Jays,696,651
2001,0.402,Shawn Green,Dodgers,701,651
2002,0.394,Shawn Green,Dodgers,685,651
1998,0.362,Shawn Green,Blue Jays,689,651
2000,0.362,Shawn Green,Dodgers,714,651
2005,0.356,Shawn Green,Diamondbacks,656,651
2003,0.353,Shawn Green,Dodgers,691,651
2004,0.350,Shawn Green,Dodgers,671,651
2006,0.335,Shawn Green,- - -,588,651
1995,0.339,Shawon Dunston,Cubs,503,1401
1997,0.330,Shawon Dunston,- - -,511,1401
1994,0.322,Shawon Dunston,Cubs,356,1401
1989,0.314,Shawon Dunston,Cubs,512,1401
1990,0.312,Shawon Dunston,Cubs,573,1401
1991,0.305,Shawon Dunston,Cubs,534,1401
1986,0.300,Shawon Dunston,Cubs,611,1401
1988,0.275,Shawon Dunston,Cubs,599,1401
2004,0.350,Shea Hillenbrand,Diamondbacks,604,196
2005,0.345,Shea Hillenbrand,Blue Jays,645,196
2002,0.340,Shea Hillenbrand,Red Sox,676,196
2003,0.331,Shea Hillenbrand,- - -,554,196
2006,0.326,Shea Hillenbrand,- - -,566,196
1956,0.368,Sherm Lollar,White Sox,527,1007714
1958,0.365,Sherm Lollar,White Sox,491,1007714
1955,0.351,Sherm Lollar,White Sox,510,1007714
1959,0.350,Sherm Lollar,White Sox,576,1007714
1960,0.308,Sherm Lollar,White Sox,484,1007714
1910,0.457,Sherry Magee,Phillies,647,1007965
1914,0.422,Sherry Magee,Phillies,616,1007965
1907,0.414,Sherry Magee,Phillies,568,1007965
1913,0.402,Sherry Magee,Phillies,538,1007965
1911,0.400,Sherry Magee,Phillies,514,1007965
1912,0.395,Sherry Magee,Phillies,555,1007965
1918,0.382,Sherry Magee,Reds,456,1007965
1908,0.377,Sherry Magee,Phillies,587,1007965
1905,0.371,Sherry Magee,Phillies,669,1007965
1906,0.368,Sherry Magee,Phillies,630,1007965
1909,0.360,Sherry Magee,Phillies,603,1007965
1915,0.359,Sherry Magee,Braves,655,1007965
2013,0.393,Shin-Soo Choo,Reds,712,3174
2010,0.386,Shin-Soo Choo,Indians,646,3174
2009,0.384,Shin-Soo Choo,Indians,685,3174
2015,0.365,Shin-Soo Choo,Rangers,653,3174
2012,0.359,Shin-Soo Choo,Indians,686,3174
2018,0.355,Shin-Soo Choo,Rangers,665,3174
2017,0.339,Shin-Soo Choo,Rangers,636,3174
2014,0.321,Shin-Soo Choo,Rangers,529,3174
1890,0.358,Shorty Fuller,Browns,610,1004397
1893,0.313,Shorty Fuller,Giants,536,1004397
1895,0.299,Shorty Fuller,Giants,531,1004397
1889,0.292,Shorty Fuller,Browns,574,1004397
1891,0.292,Shorty Fuller,Browns,657,1004397
1892,0.285,Shorty Fuller,Giants,560,1004397
1940,0.307,Sibby Sisti,Bees,507,1012022
1941,0.298,Sibby Sisti,Braves,588,1012022
1942,0.286,Sibby Sisti,Braves,469,1012022
1986,0.346,Sid Bream,Pirates,591,1001373
1988,0.326,Sid Bream,Pirates,522,1001373
1987,0.322,Sid Bream,Pirates,572,1001373
1887,0.355,Sid Farrar,Quakers,495,1003939
1889,0.338,Sid Farrar,Quakers,535,1003939
1890,0.332,Sid Farrar,Athletics,537,1003939
1888,0.301,Sid Farrar,Quakers,552,1003939
1886,0.294,Sid Farrar,Quakers,455,1003939
1885,0.292,Sid Farrar,Quakers,448,1003939
1884,0.264,Sid Farrar,Quakers,437,1003939
1883,0.253,Sid Farrar,Quakers,381,1003939
1950,0.429,Sid Gordon,Braves,562,1004877
1948,0.423,Sid Gordon,Giants,605,1004877
1949,0.419,Sid Gordon,Giants,588,1004877
1951,0.402,Sid Gordon,Braves,641,1004877
1952,0.400,Sid Gordon,Braves,606,1004877
1953,0.378,Sid Gordon,Braves,541,1004877
1947,0.365,Sid Gordon,Giants,490,1004877
1946,0.363,Sid Gordon,Giants,520,1004877
1943,0.330,Sid Gordon,Giants,528,1004877
1881,0.323,Silver Flint,White Stockings,312,1004162
1879,0.311,Silver Flint,White Stockings,330,1004162
1882,0.286,Silver Flint,White Stockings,333,1004162
1883,0.282,Silver Flint,White Stockings,335,1004162
1878,0.225,Silver Flint,Blues,256,1004162
1880,0.183,Silver Flint,White Stockings,289,1004162
1875,0.087,Silver Flint,Red Stockings,62,1004162
1907,0.331,Simon Nicholls,Athletics,519,1009571
1908,0.269,Simon Nicholls,Athletics,617,1009571
1979,0.428,Sixto Lezcano,Brewers,566,1007593
1982,0.378,Sixto Lezcano,Padres,559,1007593
1978,0.374,Sixto Lezcano,Brewers,519,1007593
1976,0.338,Sixto Lezcano,Brewers,580,1007593
1937,0.296,Skeeter Newsome,Athletics,489,1009548
1944,0.287,Skeeter Newsome,Red Sox,524,1009548
1936,0.253,Skeeter Newsome,Athletics,508,1009548
1944,0.243,Skeeter Webb,White Sox,540,1013713
1931,0.347,Ski Melillo,Browns,661,1008748
1929,0.338,Ski Melillo,Browns,544,1008748
1933,0.332,Ski Melillo,Browns,532,1008748
1935,0.300,Ski Melillo,- - -,514,1008748
1930,0.294,Ski Melillo,Browns,617,1008748
1932,0.281,Ski Melillo,Browns,659,1008748
1934,0.270,Ski Melillo,Browns,589,1008748
2008,0.340,Skip Schumaker,Cardinals,594,3704
2009,0.338,Skip Schumaker,Cardinals,586,3704
2010,0.301,Skip Schumaker,Cardinals,529,3704
1932,0.370,Smead Jolley,- - -,606,1006518
1930,0.368,Smead Jolley,White Sox,651,1006518
1955,0.380,Smoky Burgess,- - -,501,1001665
1945,0.404,Snuffy Stirnweiss,Yankees,717,1012546
1944,0.397,Snuffy Stirnweiss,Yankees,723,1012546
1948,0.338,Snuffy Stirnweiss,Yankees,610,1012546
1947,0.336,Snuffy Stirnweiss,Yankees,673,1012546
1946,0.319,Snuffy Stirnweiss,Yankees,560,1012546
1901,0.418,Socks Seybold,Athletics,504,1011775
1902,0.413,Socks Seybold,Athletics,579,1011775
1903,0.381,Socks Seybold,Athletics,569,1011775
1905,0.359,Socks Seybold,Athletics,559,1011775
1904,0.357,Socks Seybold,Athletics,572,1011775
1907,0.338,Socks Seybold,Athletics,634,1011775
1952,0.384,Solly Hemus,Cardinals,690,1005627
1953,0.377,Solly Hemus,Cardinals,690,1005627
1951,0.368,Solly Hemus,Cardinals,507,1005627
1910,0.418,Solly Hofman,Cubs,572,1005917
1914,0.370,Solly Hofman,Tip-Tops,583,1005917
1909,0.347,Solly Hofman,Cubs,613,1005917
1911,0.322,Solly Hofman,Cubs,605,1005917
1907,0.317,Solly Hofman,Cubs,536,1005917
1966,0.305,Sonny Jackson,Astros,670,1006313
1971,0.287,Sonny Jackson,Braves,593,1006313
1967,0.260,Sonny Jackson,Astros,566,1006313
1930,0.353,Sparky Adams,Cardinals,631,1000063
1926,0.352,Sparky Adams,Cubs,700,1000063
1931,0.339,Sparky Adams,Cardinals,658,1000063
1925,0.332,Sparky Adams,Cubs,687,1000063
1928,0.328,Sparky Adams,Pirates,628,1000063
1927,0.320,Sparky Adams,Cubs,705,1000063
1933,0.296,Sparky Adams,- - -,631,1000063
1959,0.248,Sparky Anderson,Phillies,527,1000243
1947,0.360,Spider Jorgensen,Dodgers,506,1006625
1987,0.306,Spike Owen,Red Sox,504,1009924
1990,0.303,Spike Owen,Expos,533,1009924
1989,0.300,Spike Owen,Expos,522,1009924
1984,0.291,Spike Owen,Mariners,591,1009924
1986,0.278,Spike Owen,- - -,593,1009924
1907,0.338,Spike Shannon,Giants,685,1011800
1904,0.325,Spike Shannon,Cardinals,582,1011800
1905,0.311,Spike Shannon,Cardinals,612,1011800
1906,0.310,Spike Shannon,- - -,684,1011800
1954,0.298,Spook Jacobs,Athletics,575,1006328
1933,0.400,Spud Davis,Phillies,540,1003078
1890,0.416,Spud Johnson,Solons,596,1006503
1889,0.351,Spud Johnson,Solons,510,1006503
1941,0.275,Stan Benjamin,Phillies,508,1000835
1941,0.398,Stan Hack,Cubs,694,1005183
1945,0.398,Stan Hack,Cubs,702,1005183
1938,0.394,Stan Hack,Cubs,707,1005183
1935,0.391,Stan Hack,Cubs,504,1005183
1942,0.389,Stan Hack,Cubs,657,1005183
1940,0.384,Stan Hack,Cubs,686,1005183
1936,0.374,Stan Hack,Cubs,666,1005183
1943,0.365,Stan Hack,Cubs,630,1005183
1937,0.362,Stan Hack,Cubs,678,1005183
1939,0.356,Stan Hack,Cubs,723,1005183
1997,0.343,Stan Javier,Giants,510,1006372
1994,0.333,Stan Javier,Athletics,480,1006372
1995,0.332,Stan Javier,Athletics,504,1006372
1956,0.381,Stan Lopata,Phillies,624,1007749
1948,0.512,Stan Musial,Cardinals,694,1009405
1949,0.477,Stan Musial,Cardinals,721,1009405
1951,0.475,Stan Musial,Cardinals,678,1009405
1946,0.468,Stan Musial,Cardinals,702,1009405
1943,0.461,Stan Musial,Cardinals,701,1009405
1953,0.460,Stan Musial,Cardinals,698,1009405
1950,0.460,Stan Musial,Cardinals,645,1009405
1954,0.458,Stan Musial,Cardinals,705,1009405
1944,0.457,Stan Musial,Cardinals,667,1009405
1952,0.443,Stan Musial,Cardinals,676,1009405
1957,0.439,Stan Musial,Cardinals,579,1009405
1955,0.421,Stan Musial,Cardinals,656,1009405
1942,0.416,Stan Musial,Cardinals,536,1009405
1947,0.414,Stan Musial,Cardinals,677,1009405
1958,0.405,Stan Musial,Cardinals,549,1009405
1956,0.392,Stan Musial,Cardinals,682,1009405
1948,0.342,Stan Rojek,Pirates,713,1011155
1949,0.288,Stan Rojek,Pirates,625,1011155
1944,0.410,Stan Spence,Senators,669,1012328
1946,0.399,Stan Spence,Senators,652,1012328
1942,0.386,Stan Spence,Senators,696,1012328
1947,0.382,Stan Spence,Senators,588,1012328
1943,0.371,Stan Spence,Senators,663,1012328
2014,0.341,Starlin Castro,Cubs,569,4579
2011,0.338,Starlin Castro,Cubs,715,4579
2010,0.329,Starlin Castro,Cubs,506,4579
2012,0.323,Starlin Castro,Cubs,691,4579
2018,0.315,Starlin Castro,Marlins,647,4579
2016,0.313,Starlin Castro,Yankees,610,4579
2015,0.288,Starlin Castro,Cubs,578,4579
2013,0.280,Starlin Castro,Cubs,705,4579
2014,0.358,Starling Marte,Pirates,545,9241
2016,0.351,Starling Marte,Pirates,529,9241
2013,0.344,Starling Marte,Pirates,566,9241
2015,0.337,Starling Marte,Pirates,633,9241
2018,0.337,Starling Marte,Pirates,606,9241
2008,0.355,Stephen Drew,Diamondbacks,663,4251
2010,0.355,Stephen Drew,Diamondbacks,633,4251
2009,0.321,Stephen Drew,Diamondbacks,595,4251
2007,0.300,Stephen Drew,Diamondbacks,619,4251
2018,0.351,Stephen Piscotty,Athletics,605,13367
2016,0.345,Stephen Piscotty,Cardinals,649,13367
2015,0.335,Stephen Vogt,Athletics,511,5000
2016,0.305,Stephen Vogt,Athletics,532,5000
1985,0.342,Steve Balboni,Royals,662,1000473
1986,0.321,Steve Balboni,Royals,562,1000473
1871,0.289,Steve Bellan,Haymakers,137,1000795
1872,0.260,Steve Bellan,Haymakers,114,1000795
1953,0.341,Steve Bilko,Cardinals,641,1000966
1885,0.335,Steve Brady,Metropolitans,465,1001330
1886,0.281,Steve Brady,Metropolitans,504,1001330
1883,0.280,Steve Brady,Metropolitans,443,1001330
1884,0.268,Steve Brady,Metropolitans,506,1001330
1975,0.374,Steve Braun,Twins,526,1001366
1974,0.338,Steve Braun,Twins,516,1001366
1977,0.311,Steve Braun,Mariners,544,1001366
1894,0.400,Steve Brodie,Orioles,604,1001461
1895,0.397,Steve Brodie,Orioles,577,1001461
1893,0.387,Steve Brodie,- - -,625,1001461
1890,0.375,Steve Brodie,Beaneaters,591,1001461
1899,0.367,Steve Brodie,Orioles,602,1001461
1896,0.361,Steve Brodie,Orioles,573,1001461
1891,0.337,Steve Brodie,Beaneaters,596,1001461
1902,0.320,Steve Brodie,Giants,452,1001461
1892,0.313,Steve Brodie,Browns,658,1001461
1974,0.314,Steve Brye,Twins,521,1001610
1993,0.345,Steve Buechele,Cubs,520,1001630
1991,0.343,Steve Buechele,- - -,600,1001630
1988,0.336,Steve Buechele,Rangers,579,1001630
1994,0.321,Steve Buechele,Cubs,387,1001630
1992,0.321,Steve Buechele,- - -,590,1001630
1986,0.316,Steve Buechele,Rangers,513,1001630
1989,0.309,Steve Buechele,Rangers,530,1001630
2002,0.319,Steve Cox,Devil Rays,633,1200
1884,0.255,Steve Dunn,Apostles,32,1003577
1914,0.459,Steve Evans,Tip-Tops,580,1003870
1915,0.396,Steve Evans,- - -,638,1003870
1911,0.376,Steve Evans,Cardinals,625,1003870
1912,0.363,Steve Evans,Cardinals,559,1003870
1910,0.356,Steve Evans,Cardinals,627,1003870
1909,0.347,Steve Evans,Cardinals,590,1003870
2000,0.379,Steve Finley,Diamondbacks,623,54
1996,0.377,Steve Finley,Padres,721,54
2002,0.373,Steve Finley,Diamondbacks,577,54
2003,0.369,Steve Finley,Diamondbacks,582,54
1999,0.362,Steve Finley,Diamondbacks,663,54
2004,0.351,Steve Finley,- - -,706,54
1995,0.349,Steve Finley,Padres,630,54
1992,0.344,Steve Finley,Astros,686,54
1997,0.339,Steve Finley,Padres,615,54
1994,0.335,Steve Finley,Astros,417,54
1991,0.328,Steve Finley,Astros,656,54
2001,0.327,Steve Finley,Diamondbacks,548,54
1998,0.308,Steve Finley,Padres,674,54
1993,0.306,Steve Finley,Astros,585,54
1990,0.286,Steve Finley,Orioles,513,54
1978,0.375,Steve Garvey,Dodgers,689,1004557
1975,0.371,Steve Garvey,Dodgers,704,1004557
1976,0.367,Steve Garvey,Dodgers,696,1004557
1979,0.365,Steve Garvey,Dodgers,697,1004557
1974,0.365,Steve Garvey,Dodgers,685,1004557
1977,0.360,Steve Garvey,Dodgers,696,1004557
1980,0.358,Steve Garvey,Dodgers,704,1004557
1981,0.329,Steve Garvey,Dodgers,461,1004557
1985,0.327,Steve Garvey,Padres,699,1004557
1982,0.312,Steve Garvey,Dodgers,660,1004557
1984,0.302,Steve Garvey,Padres,653,1004557
1986,0.302,Steve Garvey,Padres,584,1004557
1981,0.358,Steve Henderson,Cubs,337,1005636
1980,0.349,Steve Henderson,Mets,584,1005636
1978,0.331,Steve Henderson,Mets,654,1005636
1986,0.269,Steve Jeltz,Phillies,510,1006387
1979,0.411,Steve Kemp,Tigers,570,1006827
1980,0.378,Steve Kemp,Tigers,591,1006827
1981,0.369,Steve Kemp,Tigers,447,1006827
1982,0.362,Steve Kemp,White Sox,679,1006827
1978,0.358,Steve Kemp,Tigers,686,1006827
1977,0.342,Steve Kemp,Tigers,636,1006827
1871,0.414,Steve King,Haymakers,145,1006944
1872,0.312,Steve King,Haymakers,129,1006944
1986,0.297,Steve Lombardozzi,Twins,515,1007721
1988,0.308,Steve Lyons,White Sox,526,1007886
1943,0.305,Steve Mesner,Reds,548,1008798
1945,0.303,Steve Mesner,Reds,611,1008798
1920,0.401,Steve O'Neill,Indians,576,1009820
1919,0.380,Steve O'Neill,Indians,461,1009820
1918,0.329,Steve O'Neill,Indians,420,1009820
1977,0.365,Steve Ontiveros,Cubs,636,1009825
1979,0.331,Steve Ontiveros,Cubs,590,1009825
1986,0.370,Steve Sax,Dodgers,704,1011481
1989,0.341,Steve Sax,Yankees,717,1011481
1991,0.340,Steve Sax,Yankees,707,1011481
1982,0.316,Steve Sax,Dodgers,699,1011481
1983,0.315,Steve Sax,Dodgers,692,1011481
1987,0.310,Steve Sax,Dodgers,663,1011481
1988,0.302,Steve Sax,Dodgers,687,1011481
1985,0.301,Steve Sax,Dodgers,551,1011481
1990,0.293,Steve Sax,Yankees,680,1011481
1984,0.277,Steve Sax,Dodgers,622,1011481
1992,0.276,Steve Sax,White Sox,630,1011481
1975,0.294,Steve Yeager,Dodgers,515,1014332
1911,0.342,Steve Yerkes,Red Sox,591,1014341
1913,0.337,Steve Yerkes,Red Sox,560,1014341
1912,0.307,Steve Yerkes,Red Sox,593,1014341
2017,0.348,Steven Souza Jr.,Rays,617,5667
1912,0.390,Stuffy McInnis,Athletics,649,1008569
1913,0.383,Stuffy McInnis,Athletics,619,1008569
1911,0.374,Stuffy McInnis,Athletics,518,1008569
1923,0.343,Stuffy McInnis,Braves,670,1008569
1914,0.341,Stuffy McInnis,Athletics,628,1008569
1915,0.336,Stuffy McInnis,Athletics,483,1008569
1917,0.336,Stuffy McInnis,Athletics,621,1008569
1921,0.336,Stuffy McInnis,Red Sox,644,1008569
1919,0.335,Stuffy McInnis,Red Sox,490,1008569
1916,0.335,Stuffy McInnis,Athletics,566,1008569
1922,0.329,Stuffy McInnis,Indians,580,1008569
1920,0.319,Stuffy McInnis,Red Sox,624,1008569
1924,0.312,Stuffy McInnis,Braves,611,1008569
1918,0.307,Stuffy McInnis,Red Sox,476,1008569
1883,0.190,Stump Wiedman,Wolverines,317,1013926
1899,0.290,Suter Sullivan,Spiders,514,1012712
1920,0.322,Swede Risberg,White Sox,506,1010984
1919,0.318,Swede Risberg,White Sox,464,1010984
1917,0.291,Swede Risberg,White Sox,563,1010984
1890,0.386,Sy Sutcliffe,Infants,419,1012735
2006,0.340,Tadahito Iguchi,White Sox,627,8581
2005,0.340,Tadahito Iguchi,White Sox,582,8581
2007,0.331,Tadahito Iguchi,- - -,533,8581
1941,0.403,Taffy Wright,White Sox,580,1014296
1940,0.380,Taffy Wright,White Sox,627,1014296
1939,0.364,Taffy Wright,Senators,547,1014296
1948,0.334,Taffy Wright,White Sox,499,1014296
1929,0.407,Taylor Douthit,Cardinals,708,1003438
1928,0.360,Taylor Douthit,Cardinals,752,1003438
1930,0.358,Taylor Douthit,Cardinals,748,1003438
1926,0.358,Taylor Douthit,Cardinals,624,1003438
1927,0.335,Taylor Douthit,Cardinals,555,1003438
1931,0.328,Taylor Douthit,- - -,572,1003438
1884,0.233,Taylor Shafer,- - -,269,1011784
1972,0.311,Ted Ford,Rangers,481,1004224
1954,0.461,Ted Kluszewski,Redlegs,659,1007020
1953,0.420,Ted Kluszewski,Reds,629,1007020
1955,0.413,Ted Kluszewski,Redlegs,686,1007020
1952,0.407,Ted Kluszewski,Reds,549,1007020
1950,0.386,Ted Kluszewski,Reds,572,1007020
1956,0.381,Ted Kluszewski,Redlegs,574,1007020
1949,0.344,Ted Kluszewski,Reds,550,1007020
1951,0.316,Ted Kluszewski,Reds,644,1007020
1970,0.295,Ted Kubiak,Brewers,625,1007190
1890,0.354,Ted Scheffler,Broncos,537,1011536
1975,0.395,Ted Simmons,Cardinals,649,1011986
1977,0.389,Ted Simmons,Cardinals,601,1011986
1978,0.387,Ted Simmons,Cardinals,604,1011986
1980,0.384,Ted Simmons,Cardinals,562,1011986
1979,0.371,Ted Simmons,Cardinals,521,1011986
1972,0.358,Ted Simmons,Cardinals,629,1011986
1973,0.358,Ted Simmons,Cardinals,690,1011986
1983,0.352,Ted Simmons,Brewers,650,1011986
1974,0.347,Ted Simmons,Cardinals,662,1011986
1971,0.346,Ted Simmons,Cardinals,563,1011986
1976,0.345,Ted Simmons,Cardinals,625,1011986
1982,0.332,Ted Simmons,Brewers,581,1011986
1985,0.328,Ted Simmons,Brewers,592,1011986
1981,0.288,Ted Simmons,Brewers,413,1011986
1984,0.259,Ted Simmons,Brewers,532,1011986
1973,0.327,Ted Sizemore,Cardinals,620,1012027
1969,0.305,Ted Sizemore,Dodgers,650,1012027
1977,0.304,Ted Sizemore,Phillies,581,1012027
1972,0.304,Ted Sizemore,Cardinals,489,1012027
1974,0.302,Ted Sizemore,Cardinals,597,1012027
1971,0.298,Ted Sizemore,Cardinals,532,1012027
1975,0.279,Ted Sizemore,Cardinals,635,1012027
1968,0.324,Ted Uhlaender,Twins,527,1013264
1970,0.318,Ted Uhlaender,Indians,524,1013264
1971,0.313,Ted Uhlaender,Indians,541,1013264
1969,0.312,Ted Uhlaender,Twins,610,1013264
1941,0.568,Ted Williams,Red Sox,606,1014040
1946,0.525,Ted Williams,Red Sox,672,1014040
1957,0.524,Ted Williams,Red Sox,546,1014040
1942,0.524,Ted Williams,Red Sox,671,1014040
1949,0.511,Ted Williams,Red Sox,730,1014040
1947,0.508,Ted Williams,Red Sox,693,1014040
1954,0.507,Ted Williams,Red Sox,526,1014040
1948,0.504,Ted Williams,Red Sox,638,1014040
1956,0.470,Ted Williams,Red Sox,503,1014040
1939,0.464,Ted Williams,Red Sox,677,1014040
1951,0.463,Ted Williams,Red Sox,675,1014040
1940,0.461,Ted Williams,Red Sox,661,1014040
1958,0.449,Ted Williams,Red Sox,517,1014040
2018,0.328,Teoscar Hernandez,Blue Jays,523,13066
2000,0.342,Terrence Long,Athletics,631,927
2001,0.321,Terrence Long,Athletics,687,927
2002,0.299,Terrence Long,Athletics,640,927
2003,0.294,Terrence Long,Athletics,522,927
1985,0.326,Terry Harper,Braves,542,1005382
1982,0.352,Terry Kennedy,Padres,604,1006850
1983,0.337,Terry Kennedy,Padres,612,1006850
1981,0.327,Terry Kennedy,Padres,412,1006850
1987,0.298,Terry Kennedy,Orioles,549,1006850
1985,0.294,Terry Kennedy,Padres,565,1006850
1984,0.282,Terry Kennedy,Padres,570,1006850
1878,0.329,Terry Larkin,White Stockings,243,1007352
1877,0.254,Terry Larkin,Dark Blues,233,1007352
1884,0.252,Terry Larkin,Virginians,151,1007352
1940,0.375,Terry Moore,Cardinals,585,1009128
1942,0.361,Terry Moore,Cardinals,559,1009128
1941,0.359,Terry Moore,Cardinals,556,1009128
1947,0.334,Terry Moore,Cardinals,508,1009128
1936,0.314,Terry Moore,Cardinals,630,1009128
1937,0.311,Terry Moore,Cardinals,500,1009128
1991,0.384,Terry Pendleton,Braves,644,1010157
1992,0.362,Terry Pendleton,Braves,689,1010157
1987,0.339,Terry Pendleton,Cardinals,667,1010157
1995,0.338,Terry Pendleton,Marlins,557,1010157
1989,0.316,Terry Pendleton,Cardinals,661,1010157
1993,0.316,Terry Pendleton,Braves,682,1010157
1996,0.279,Terry Pendleton,- - -,618,1010157
1985,0.266,Terry Pendleton,Cardinals,602,1010157
1986,0.257,Terry Pendleton,Cardinals,626,1010157
1984,0.360,Terry Puhl,Astros,519,1010562
1980,0.350,Terry Puhl,Astros,609,1010562
1983,0.343,Terry Puhl,Astros,512,1010562
1979,0.328,Terry Puhl,Astros,672,1010562
1978,0.322,Terry Puhl,Astros,647,1010562
1982,0.320,Terry Puhl,Astros,567,1010562
1981,0.303,Terry Puhl,Astros,394,1010562
1996,0.370,Terry Steinbach,Athletics,571,1012473
1994,0.330,Terry Steinbach,Athletics,403,1012473
1906,0.346,Terry Turner,Naps,643,1013233
1913,0.324,Terry Turner,Naps,481,1013233
1914,0.316,Terry Turner,Naps,512,1013233
1916,0.312,Terry Turner,Indians,495,1013233
1905,0.310,Terry Turner,Naps,621,1013233
1910,0.288,Terry Turner,Naps,651,1013233
1907,0.283,Terry Turner,Naps,561,1013233
1978,0.330,Terry Whitfield,Giants,543,1013899
1914,0.389,Tex McDonald,- - -,521,1008468
1914,0.313,Tex Wisterzil,Tip-Tops,595,1014161
1884,0.256,Thomas Griffin,Brewers,44,1005052
1879,0.210,Thorny Hawkes,Trojans,254,1005513
1973,0.379,Thurman Munson,Yankees,576,1009334
1970,0.360,Thurman Munson,Yankees,526,1009334
1975,0.359,Thurman Munson,Yankees,661,1009334
1977,0.355,Thurman Munson,Yankees,638,1009334
1976,0.349,Thurman Munson,Yankees,665,1009334
1971,0.325,Thurman Munson,Yankees,517,1009334
1972,0.324,Thurman Munson,Yankees,567,1009334
1978,0.317,Thurman Munson,Yankees,667,1009334
1974,0.312,Thurman Munson,Yankees,571,1009334
1944,0.350,Thurman Tucker,White Sox,504,1013212
1946,0.347,Thurman Tucker,White Sox,497,1013212
1943,0.316,Thurman Tucker,White Sox,616,1013212
2004,0.298,Tike Redman,Pirates,581,1003
1913,0.370,Tillie Shafer,Giants,584,1011780
1921,0.406,Tilly Walker,Athletics,640,1013534
1922,0.405,Tilly Walker,Athletics,645,1013534
1914,0.385,Tilly Walker,Browns,587,1013534
1918,0.382,Tilly Walker,Athletics,466,1013534
1919,0.367,Tilly Walker,Athletics,497,1013534
1920,0.345,Tilly Walker,Athletics,648,1013534
1916,0.334,Tilly Walker,Red Sox,506,1013534
1915,0.333,Tilly Walker,Browns,567,1013534
2018,0.294,Tim Anderson,White Sox,606,15172
2017,0.288,Tim Anderson,White Sox,606,15172
2017,0.334,Tim Beckham,- - -,575,7949
1902,0.266,Tim Flood,Superbas,529,1004166
1979,0.306,Tim Foli,- - -,594,1004202
1976,0.295,Tim Foli,Expos,572,1004202
1980,0.282,Tim Foli,Pirates,540,1004202
1981,0.269,Tim Foli,Pirates,351,1004202
1975,0.266,Tim Foli,Expos,630,1004202
1982,0.261,Tim Foli,Angels,528,1004202
1972,0.259,Tim Foli,Expos,592,1004202
1986,0.282,Tim Hulett,White Sox,552,1006174
1973,0.233,Tim Johnson,Brewers,510,1006506
1906,0.378,Tim Jordan,Superbas,522,1006619
1907,0.365,Tim Jordan,Superbas,575,1006619
1908,0.345,Tim Jordan,Superbas,588,1006619
1884,0.268,Tim Manning,Orioles,374,1008070
1967,0.358,Tim McCarver,Cardinals,540,1008378
1971,0.328,Tim McCarver,Phillies,525,1008378
1964,0.321,Tim McCarver,Cardinals,515,1008378
1966,0.321,Tim McCarver,Cardinals,586,1008378
1969,0.309,Tim McCarver,Cardinals,576,1008378
1875,0.257,Tim McGinley,- - -,183,1008530
1872,0.343,Tim Murnane,Mansfields,117,1009343
1876,0.296,Tim Murnane,Red Caps,316,1009343
1875,0.272,Tim Murnane,Whites,320,1009343
1878,0.261,Tim Murnane,Grays,196,1009343
1873,0.244,Tim Murnane,Athletics,184,1009343
1995,0.385,Tim Naehring,Red Sox,520,1009433
1893,0.392,Tim O'Rourke,- - -,586,1009845
1987,0.404,Tim Raines,Expos,627,1406
1986,0.392,Tim Raines,Expos,664,1406
1985,0.385,Tim Raines,Expos,665,1406
1981,0.375,Tim Raines,Expos,363,1406
1984,0.372,Tim Raines,Expos,718,1406
1983,0.368,Tim Raines,Expos,720,1406
1989,0.362,Tim Raines,Expos,618,1406
1992,0.356,Tim Raines,White Sox,644,1406
1995,0.356,Tim Raines,White Sox,581,1406
1990,0.347,Tim Raines,Expos,538,1406
1994,0.344,Tim Raines,White Sox,453,1406
1982,0.326,Tim Raines,Expos,731,1406
